seriesid,studyid,studyid2,pkgid,pubdate,title,authors,corearea,status,top10
prj,126,prj126,210126001,2023,Jornada Basin LTER Weather Station Daily summary climate data,"Anderson, John",Disturbance,core,
prj,126,prj126,210126003,2022,"Precipitation data from a standard can rain gauge at the LTER weather station, Jornada Basin, southern New Mexico, USA, 1992-ongoing","Anderson, John",Disturbance,core,
prj,127,prj127,210127001,2019,"Evaporation pan data from the Jornada Basin LTER weather station, 1983-ongoing","Whitford, Walter;Anderson, John",Disturbance,,
prj,128,prj128,210128001,2020,Atmospheric deposition chemistry data from dryfall at the Jornada Basin LTER: 1983-ongoing,"Schlesinger, William H;Anderson, John",Inorganic matter cycling,,
prj,128,prj128,210128002,2020,Atmospheric deposition chemistry data from wetfall at the Jornada Basin LTER: 1983-ongoing,"Schlesinger, William H;Anderson, John",Inorganic matter cycling,,
prj,228,prj228,210228001,2022,"Aeolian dust weights sampled by BSNE collectors before and after the windy season from the NEAT study at Jornada Basin LTER, 2008-ongoing","Okin, Gregory S;Gillette, Dale",Inorganic matter cycling,core,
prj,228,prj228,210228002,2021,"Canopy size, gap size, plant height, and scaled height in NEAT plots at Jornada Basin LTER, Summer 2017","Zhang, Junzhe;Okin, Gregory S",Inorganic matter cycling,core,
prj,259,prj259,210259001,2022,"Jornada Basin LTER wireless meteorological station at MNORT wind tower site: 5-minute summary data, 2006 - ongoing (provisional)","Okin, Gregory S",Disturbance,,Y
prj,262,prj262,210262001,2022,"Spring and Fall plant cover across grassland-shrubland ecotones at 3 sites in the Jornada Basin, 2005-ongoing","Bestelmeyer, Brandon T;Schooley, Robert",Populations,core,
prj,262,prj262,210262004,2022,"Annual Aboveground Net Primary Productivity by plant functional groups across grassland-shrubland ecotones at 3 sites in the Jornada Basin, 2006-ongoing","Bestelmeyer, Brandon T;Schooley, Robert",Primary production,core,Y
prj,262,prj262,210262005,2022,"Total Annual Aboveground Net Primary Productivity across grassland-shrubland ecotones at 3 sites in the Jornada Basin, 2006-ongoing","Bestelmeyer, Brandon T;Schooley, Robert",Primary production,core,Y
prj,262,prj262,210262008,2022,"Rodent capture data across grassland-shrubland ecotones at 3 sites in the Jornada Basin, 2004-ongoing","Bestelmeyer, Brandon T;Schooley, Robert",Populations,core,Y
prj,262,prj262,210262010,2022,"Rodent abundance and biomass data across grassland-shrubland ecotones at 3 sites in the Jornada Basin, 2004-ongoing","Bestelmeyer, Brandon T;Schooley, Robert",Populations,core,
prj,278,prj278,210278001,2020,"Soil water content under rainfall manipulation and nitrogen fertilization treatments at the Jornada Basin LTER site, 2007-2009","Reichmann, Lara G.;Sala, Osvaldo E.",Disturbance,,
prj,278,prj278,210278002,2020,"Plant cover under precipitation and nitrogen manipulation treatments at the Jornada Basin LTER site, 2006-2008","Reichmann, Lara G.;Sala, Osvaldo E.",Disturbance,,
prj,287,prj287,210287001,2022,"Plant phenology observations at 15 sites at Jornada Basin LTER, 1992-ongoing","Huenneke, Laura F;Browning, Dawn",Primary production,core,
prj,288,prj288,210288001,2022,"Aeolian dust weights sampled by BSNE collectors in 18 locations at the Jornada Basin LTER site, 1998-ongoing","Okin, Gregory S;Gillette, Dale",Inorganic matter cycling,core,Y
prj,301,prj301,210301001,2021,"Aggregate mesquite litter chemistry following soil-mixing and decomposition in a semi-arid grassland at the Jornada Basin LTER, 2010-2012","Hewins, Daniel;Archer, Steven;Throop, Heather",Organic matter cycling,,
prj,301,prj301,210301002,2021,"Aggregate mesquite litter mass-loss following soil-mixing and decomposition in a semi-arid grassland at the Jornada Basin LTER, 2010-2012","Hewins, Daniel;Archer, Steven;Throop, Heather",Organic matter cycling,,
prj,308,prj308,210308001,2020,"Annual measurements of vegetation canopy and basal gap intercepts from the three Conmod Pilot study locations at Jornada Basin LTER, 2008-2016","Peters, Debra;Okin, Gregory S;Herrick, Jeff",Disturbance,,
prj,308,prj308,210308002,2020,"Annual measurements of vegetation cover on line-point intercept transects from the three Conmod Pilot study locations at Jornada Basin LTER, 2008-2016","Peters, Debra;Okin, Gregory S;Herrick, Jeff",Disturbance,,
prj,308,prj308,210308003,2020,"Bedload data (deposition from overland flow) measured at the three Conmod Pilot study locations at Jornada Basin LTER, 2008-2010","Herrick, Jeff;Peters, Debra;Okin, Gregory S",Disturbance,,
prj,308,prj308,210308004,2019,"BSNE aeolian dust collector sample weights from the three ConMod Pilot study locations at Jornada Basin LTER, 2008-2016","Okin, Gregory S;Peters, Debra;Herrick, Jeff",Disturbance,,Y
prj,308,prj308,210308005,2020,"Repeat, ground-based photographs of microplots at the three Conmod Pilot study locations at Jornada Basin LTER, 2008-2016","Herrick, Jeff;Peters, Debra;Okin, Gregory S",Disturbance,,Y
prj,313,prj313,210313001,2020,"Streamflow and rain event data from the Tromble experimental watershed weir in the Jornada Basin, southern New Mexico USA, during 2 periods: 1977-1985 and 2003-2011","Turnbull, Laura;Parsons, Anthony J;Wainwright, John;Anderson, John P;Tromble, John M",Disturbance,,
prj,327,prj327,210327001,2018,"Greenfall litter decomposition of three common species in the northern Chihuahuan Desert, 2010-2012","Smith, Jane G.",Organic matter cycling,,
prj,328,prj328,210328001,2023,"Aboveground vegetation cover and biomass in plots with experimentally altered precipitation variability at the Jornada Basin LTER site, 2009-ongoing","Gherardi, Laureano;Sala, Osvaldo E",Disturbance,,
prj,328,prj328,210328002,2019,"Plant diverity and richness metrics across inter-annual precipitation variability treatments at a grassland site in the Jornada Basin, 2009-2014","Sala, Osvaldo;Gherardi, Laureano",Disturbance,,
prj,328,prj328,210328003,2023,"Soil water content measurements in plots with experimentally altered precipitation variability at the Jornada Basin LTER site, 2011-ongoing","Gherardi, Laureano;Sala, Osvaldo E",Disturbance,,
prj,328,prj328,210328004,2022,"Dryland soil mycobiome response to long-term precipitation variability at the Jornada Basin LTER site, 2013-2019","Louw, Nicolas;Chung, Y. Anny;Gherardi, Laureano;Sala, Osvaldo E",Disturbance,,
prj,328,prj328,210328005,2023,"Perennial grass tiller and stolon counts in plots with experimentally altered precipitation variability at the Jornada Basin LTER site, 2012-2014","Gherardi, Laureano;Sala, Osvaldo E",Disturbance,,
prj,338,prj338,210338002,2022,"Precipitation data from four locations within the Tromble Weir experimental watershed, located at the Jornada Basin LTER site, 2010-ongoing","Vivoni, Enrique;Perez-Ruiz, Eli;Schreiner-McGraw, Adam;Keller, Zachary;Templeton, Ryan;Anderson, Cody",Inorganic matter cycling,core,Y
prj,338,prj338,210338004,2022,"Soil volumetric water content data from fifteen locations, 3 depths at each location, within the Tromble Weir experimental watershed at the Jornada Basin LTER site, 2010-ongoing","Vivoni, Enrique;Perez-Ruiz, Eli;Schreiner-McGraw, Adam;Keller, Zachary;Templeton, Ryan;Anderson, Cody",Inorganic matter cycling,core,
prj,338,prj338,210338005,2020,"Mass and energy fluxes from the US-Jo2 AmeriFlux eddy covariance tower in Tromble Weir experimental watershed at the Jornada Basin LTER site, 2010-ongoing","Vivoni, Enrique R.;Perez-Ruiz, Eli R.;Schreiner-McGraw, Adam P.;Templeton, Ryan C.;Anderson, Cody A.",Inorganic matter cycling,core,
prj,338,prj338,210338006,2022,"Standard meteorology and ancillary data from the Tromble Weir experimental watershed tower at the Jornada Basin LTER site, 2010-ongoing","Vivoni, Enrique;Perez-Ruiz, Eli;Schreiner-McGraw, Adam;Keller, Zachary;Templeton, Ryan;Anderson, Cody",Inorganic matter cycling,core,Y
prj,349,prj349,210349001,2023,"Aboveground vegetation cover and biomass in plots with experimentally altered precipitation and nutrient inputs at the Jornada Basin LTER site, 2006-ongoing","Reichmann, Lara;Gherardi, Laureano;Sala, Osvaldo E",Primary production,core,
prj,349,prj349,210349002,2023,"Soil water content measurements in plots with experimentally altered precipitation and nutrient inputs at the Jornada Basin LTER site, 2011-ongoing","Reichmann, Lara;Gherardi, Laureano;Sala, Osvaldo E",Disturbance,core,
prj,349,prj349,210349003,2023,"Perennial grass tiller and stolon density in plots with experimentally altered precipitation and nutrient inputs at the Jornada Basin LTER site, 2012-2014","Reichmann, Lara;Gherardi, Laureano;Sala, Osvaldo E",Primary production,core,
prj,351,prj351,210351001,2020,"Plant Cover at Permanent Quad Locations on the Jornada Experimental Range, 1915-ongoing","Chapline, William;Havstad, Kris;Bestelmeyer, Brandon",Populations,core,Y
prj,351,prj351,210351002,2020,"Plant Density at Permanent Quad Locations on the Jornada Experimental Range, 1915-ongoing","Chapline, William;Havstad, Kris;Bestelmeyer, Brandon",Populations,core,
prj,351,prj351,210351003,2020,"Soil Particle Size Analysis at Permanent Quadrat locations, Jornada Experimental Range, 2001-2020","Yao, Jin",Populations,core,
prj,351,prj351,210351004,2021,"Quadrat-based monitoring of desert grassland vegetation at the Jornada Experimental Range, New Mexico, 1915-2016","Havstad, Kris;Christensen, Erica",Populations,core,Y
prj,365,prj365,210365001,2020,"Soil movement across black grama and mesquite ecotone transects in the Jornada Basin, southern New Mexico, USA, 1933-2011","Campbell, Robert;Gibbens, Robert;Bestelmeyer, Brandon T.",Inorganic matter cycling,,
prj,368,prj368,210368001,2021,"Density and cover of winter annual plants in three harvester ant habitats at the Jornada Basin LTER site, 1987","Di Marco, Rodolfo;Whitford, Walter G",Inorganic matter cycling,,
prj,368,prj368,210368002,2021,"Soil nutrients sampled in and around harvester ant nests in three habitats at the Jornada Basin LTER site, 1987","Di Marco, Rodolfo;Whitford, Walter G",Inorganic matter cycling,,
prj,368,prj368,210368003,2021,"Soil organic matter content sampled in and around harvester ant nests in three habitats at the Jornada Basin LTER site, 1987","Di Marco, Rodolfo;Whitford, Walter G",Inorganic matter cycling,,
prj,368,prj368,210368004,2021,"Gravimetric soil water content sampled in and around harvester ant nests in three habitats at the Jornada Basin LTER site, 1987","Di Marco, Rodolfo;Whitford, Walter G",Inorganic matter cycling,,
prj,369,prj369,210369001,2011,Arthropod Trophic Group Composition Data,"Lightfoot, David",Populations,,
prj,370,prj370,210370001,2021,"Grasshopper survey and substrate utilization data at the Jornada Basin LTER site, 1983 to 1985","Lightfoot, David C;Whitford, Walter G",Populations,,
prj,370,prj370,210370002,2021,"Herbaceous vegetation size and cover data in grasshopper survey quadrats at the Jornada Basin LTER site, 1984 to 1985","Lightfoot, David C;Whitford, Walter G",Populations,,
prj,379,prj379,210379001,2022,"Locally verified daily temperature and precipitation data from a NOAA weather station at USDA Jornada Experimental Range headquarters, southern New Mexico USA, 1914-2006","Wooton, Elmer;National Weather Service;Thatcher, David;Anderson, John;Havstad, Kris",Disturbance,,Y
prj,379,prj379,210379002,2022,"Locally verified monthly summary temperature and precipitation data from a NOAA weather station at USDA Jornada Experimental Range headquarters, southern New Mexico USA, 1914-1998","Wooton, Elmer;National Weather Service;Thatcher, David;Anderson, John;Havstad, Kris",Disturbance,,
prj,379,prj379,210379003,2022,"Locally verified evaporation data from a NOAA evaporation pan at USDA Jornada Experimental Range headquarters, southern New Mexico USA, 1953-1979","Ares, Fred;National Weather Service;Thatcher, David;Anderson, John;Havstad, Kris",Disturbance,,
prj,380,prj380,210380001,2024,"Monthly precipitation data from a network of standard gauges at the Jornada Experimental Range (Jornada Basin LTER) in southern New Mexico, January 1916 - ongoing","Thatcher, David;Bestelmeyer, Brandon T",Disturbance,,
prj,385,prj385,210385001,2020,"Microarthropod and nematode effects on soil nitrogen availability in fluffgrass mesocosms at the Jornada Basin LTER site, 1986-1987","Solange, Silva;Whitford, Walt",Populations,,
prj,385,prj385,210385002,2020,Effects of microarthropod exclusion and water amendments on fluffgrass rhizosphere nitrogen mineralization potential at the Jornada Basin LTER site in 1987,"Solange, Silva;Whitford, Walt",Populations,,
prj,385,prj385,210385003,2020,Effects of microarthropod exclusion and water amendments on fluffgrass tissue nitrogen at the Jornada Basin LTER site in 1986,"Solange, Silva;Whitford, Walt",Populations,,
prj,385,prj385,210385004,2020,"Effects of microarthropod exclusion and water amendments on fluffgrass growth at the Jornada Basin LTER, March to September 1986","Solange, Silva;Whitford, Walt",Populations,,
prj,385,prj385,210385005,2020,"Effects of microarthropod exclusion and water amendments on fluffgrass rhizosphere nitrate (NO3) at the Jornada Basin LTER, 1986-1987","Solange, Silva;Whitford, Walt",Populations,,
prj,385,prj385,210385006,2020,"Effects of microarthropod exclusion and water amendments on fluffgrass rhizosphere ammonium (NH4) at the Jornada Basin LTER, 1986-1987","Solange, Silva;Whitford, Walt",Populations,,
prj,385,prj385,210385007,2020,"Effects of microarthropod exclusion and water amendments on fluffgrass growth, root nitrogen, and mite and nematode abundance at the Jornada Basin LTER site, 1986-1987","Solange, Silva;Whitford, Walt",Populations,,
prj,385,prj385,210385008,2020,"Effects of microarthropod exclusion and water amendments on fluffgrass rhizosphere total soil nitrogen at the Jornada Basin, 1986-1987","Solange, Silva;Whitford, Walt",Populations,,
prj,386,prj386,210386002,2020,"Nematode abundance in soil cores collected beneath mesquite trees in irrigated and non-irrigated plots at the Jornada Basin LTER site, 1988","Silva, Solange;McBride, Robin;Virginia, Ross",Inorganic matter cycling,,
prj,386,prj386,210386003,2011,Plant Nutrient Analysis - 1988 and 1989,"Virginia, Ross",Inorganic matter cycling,,
prj,386,prj386,210386004,2011,Mesquite Nodulating Rhizobia - 1988 and 1989,"Virginia, Ross",Inorganic matter cycling,,
prj,386,prj386,210386008,2020,"Nitrogen and phosphorus content of mesquite tree tissues from four habitats at the Jornada Basin LTER site, 1986","Silva, Solange;McBride, Robin;Virginia, Ross",Inorganic matter cycling,,
prj,386,prj386,210386009,2020,"Nitrogen and phosphorus content of mesquite tree tissues from four habitats at the Jornada Basin LTER site, 1987","Silva, Solange;McBride, Robin;Virginia, Ross",Inorganic matter cycling,,
prj,386,prj386,210386011,2020,"Nitrate, ammonium, and water content of mesquite root tube soil from three habitats at the Jornada Basin LTER site, 1987","Silva, Solange;McBride, Robin;Virginia, Ross",Inorganic matter cycling,,
prj,389,prj389,210389001,2022,"Litterfall data from creosote sites along the Jornada Basin LTER transect, 1985-1988","Whitford, Walter G",Organic matter cycling,,
prj,389,prj389,210389002,2022,"Litterfall data from mesquite sites along the Jornada Basin LTER transect, 1985-1988","Whitford, Walter G",Organic matter cycling,,
prj,392,prj392,210392001,2020,"Vegetation cover from line intercept transects in lagomorph exclosure and shrub removal plots at the Jornada Experimental Range, southern New Mexico, USA, 1938-2001","Valentine, Ken;Havstad, Kris M.;Bestelmeyer, Brandon T.",Land Use and Land Cover Change,,
prj,394,prj394,210394005,2011,Deep Core Soil Saturation Extracts,"Virginia, Ross",Inorganic matter cycling,,
prj,394,prj394,210394008,2020,"Surface soil analyses from a range of mesquite sites at Jornada Basin LTER, 1986","Silva, Solange;McBride, Robin;Virginia, Ross",Inorganic matter cycling,,
prj,394,prj394,210394009,2020,"Surface soil nitrogen analyses under mesquite bush canopies and interspaces at the Jornada Basin LTER, 1986","Silva, Solange;McBride, Robin;Virginia, Ross",Inorganic matter cycling,,
prj,395,prj395,210395001,2020,"Grassland and mesquite shrubland soil nitrogen mineralization potential from leaching soil incubations at the Jornada Basin LTER, 1986","Whitford, Walt;Fisher, Fred",Inorganic matter cycling,,
prj,398,prj398,210398001,2022,"Soil chemistry and nutrient distribution in long-term NPP plots at the Jornada Basin LTER site, 1989","Jarrell, Wes;Virginia, Ross;Silva, Solange;McBride, Robin",Inorganic matter cycling,,
prj,398,prj398,210398002,2022,"Soil chemistry and nutrient distribution in long-term NPP plots at the Jornada Basin LTER site, 1991","Jarrell, Wes;Virginia, Ross;Silva, Solange;McBride, Robin",Inorganic matter cycling,,
prj,407,prj407,210407001,2019,"Daily precipitation from a network of weighing rain gauges on the Jornada Experimental Range (Jornada Basin LTER), 1976-2011.","Thatcher, David",Disturbance,,
