studyid,pkgid,pubdate,title,authors,old_core,core_sig_2020prop,top10_2020prop,top10doi_2020prop,corearea
1,100,2019,"High resolution shrub cover raster maps of the Jornada Basin LTER, including JER and CDRRC (2011)","Ji, Wenjie; Hanan, Niall P.; ",,signature,,,Inorganic matter cycling
         air temperature data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437011,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-SMAL site: 5-minute summary wind and
         air temperature data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437012,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-TOBO site: 5-minute summary wind and
         air temperature data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437013,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-EAST site: 5-minute summary wind and
         air temperature data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437014,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-TAYL site: 5-minute summary wind and
         air temperature data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437015,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-WEST site: 5-minute summary wind and
         air temperature data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437016,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-CALI site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437017,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-GRAV site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437018,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-SAND site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437019,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-BASN site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437020,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-IBPE site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437021,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-SUMM site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437022,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-NORT site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437023,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-RABB site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437024,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-WELL site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437025,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-COLL site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437026,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-SMAL site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437027,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-EAST site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437028,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-EAST site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437029,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-TAYL site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437030,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-WEST site: 30-minute summary data:
         2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437031,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-CALI site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437032,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-GRAV site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437033,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-SAND site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437034,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-BASN site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437035,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-IBPE site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437036,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-SUMM site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437037,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-NORT site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437038,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-RABB site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437039,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-WELL site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437040,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-COLL site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437041,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-SMAL site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437042,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-TOBO site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437043,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-EAST site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437044,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-TAYL site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437045,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-WEST site: 1-hour summary data:  2013
         - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437046,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-CALI site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437047,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-GRAV site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437048,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-SAND site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437049,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-BASN site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437050,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-IBPE site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437051,2020,"Jornada Basin LTER: Wireless meteorological station at NPP G-SUMM site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437052,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-NORT site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437053,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-RABB site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437054,2020,"Jornada Basin LTER: Wireless meteorological station at NPP M-WELL site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437055,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-COLL site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437056,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-SMAL site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437057,2020,"Jornada Basin LTER: Wireless meteorological station at NPP P-TOBO site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437058,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-EAST site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437059,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-TAYL site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437060,2020,"Jornada Basin LTER: Wireless meteorological station at NPP T-WEST site: Daily summary data:  2013 -
         ongoing","Anderson, John; ",,core,,,Disturbance
437,210437061,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-CALI site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437062,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-GRAV site: 1-second summary
         precipitation data:  2013 - ongoing","Anderson, John; ",,core,,,Disturbance
437,210437063,2020,"Jornada Basin LTER: Wireless meteorological station at NPP C-SAND site: 1-second summary
